"Year","Area.Description","Species","Pounds","Trips","Average.Price","Estimated.Value"
2009,"CRYSTAL RIVER-TARPON SPRINGS","CRAB, BLUE (HARD)",702847,3493,1.21,853844
2010,"CRYSTAL RIVER-TARPON SPRINGS","CRAB, BLUE (HARD)",977438,3849,1.25,1219244
2011,"CRYSTAL RIVER-TARPON SPRINGS","CRAB, BLUE (HARD)",1083761,3912,1.28,1385475
2012,"CRYSTAL RIVER-TARPON SPRINGS","CRAB, BLUE (HARD)",669168,3549,1.24,829191
2013,"CRYSTAL RIVER-TARPON SPRINGS","CRAB, BLUE (HARD)",788503,4010,1.44,1132542
2014,"CRYSTAL RIVER-TARPON SPRINGS","CRAB, BLUE (HARD)",765615,3860,1.7,1302956
2015,"CRYSTAL RIVER-TARPON SPRINGS","CRAB, BLUE (HARD)",769631,3993,1.85,1421998
2016,"CRYSTAL RIVER-TARPON SPRINGS","CRAB, BLUE (HARD)",459089,2925,1.88,864658
1984,"FORT MYERS","CRAB, BLUE (HARD)",48192,144,0.2,9638
1985,"FORT MYERS","CRAB, BLUE (HARD)",237780,1167,0.35,83223
1986,"FORT MYERS","CRAB, BLUE (HARD)",161686,1149,0.61,99338
1987,"FORT MYERS","CRAB, BLUE (HARD)",159168,727,0.34,53536
1988,"FORT MYERS","CRAB, BLUE (HARD)",493443,2179,0.37,180591
1989,"FORT MYERS","CRAB, BLUE (HARD)",166422,1900,0.42,70668
1990,"FORT MYERS","CRAB, BLUE (HARD)",68173,464,0.54,37063
1991,"FORT MYERS","CRAB, BLUE (HARD)",349365,1362,0.46,160577
1992,"FORT MYERS","CRAB, BLUE (HARD)",406596,1534,0.43,176332
1993,"FORT MYERS","CRAB, BLUE (HARD)",59123,196,0.69,40632
1994,"FORT MYERS","CRAB, BLUE (HARD)",75534,268,0.91,69058
1995,"FORT MYERS","CRAB, BLUE (HARD)",1254320,5278,0.82,1028237
1996,"FORT MYERS","CRAB, BLUE (HARD)",3371688,14046,0.66,2217683
1997,"FORT MYERS","CRAB, BLUE (HARD)",2184472,13103,0.82,1792531
1998,"FORT MYERS","CRAB, BLUE (HARD)",3648354,14071,0.67,2435692
1999,"FORT MYERS","CRAB, BLUE (HARD)",3676026,14714,0.7,2567861
2000,"FORT MYERS","CRAB, BLUE (HARD)",1670742,9791,0.86,1439631
2001,"FORT MYERS","CRAB, BLUE (HARD)",707980,5543,1.07,754775
2002,"FORT MYERS","CRAB, BLUE (HARD)",1228197,8062,1.11,1359127
2003,"FORT MYERS","CRAB, BLUE (HARD)",1788338,8842,0.93,1657260
2004,"FORT MYERS","CRAB, BLUE (HARD)",2376028,8076,0.86,2054392
2005,"FORT MYERS","CRAB, BLUE (HARD)",1983914,6993,0.96,1909646
2006,"FORT MYERS","CRAB, BLUE (HARD)",2180160,6973,0.78,1705943
2007,"FORT MYERS","CRAB, BLUE (HARD)",1327682,6130,0.91,1214142
2008,"FORT MYERS","CRAB, BLUE (HARD)",539354,3639,1.18,634198
2009,"FORT MYERS","CRAB, BLUE (HARD)",468686,3146,1.26,592210
2010,"FORT MYERS","CRAB, BLUE (HARD)",1451564,5685,1.04,1503037
2011,"FORT MYERS","CRAB, BLUE (HARD)",1340944,5010,1.08,1446663
2012,"FORT MYERS","CRAB, BLUE (HARD)",865511,4277,1.11,963080
2013,"FORT MYERS","CRAB, BLUE (HARD)",1090994,4704,1.4,1529059
2014,"FORT MYERS","CRAB, BLUE (HARD)",623807,3621,1.75,1089328
2015,"FORT MYERS","CRAB, BLUE (HARD)",1058246,4790,1.79,1892617
2016,"FORT MYERS","CRAB, BLUE (HARD)",975824,4899,1.67,1633811
1984,"TAMPA","CRAB, BLUE (HARD)",10656,34,0.2,2131
1985,"TAMPA","CRAB, BLUE (HARD)",75514,761,0.35,26590
1986,"TAMPA","CRAB, BLUE (HARD)",120486,1146,0.75,89788
1987,"TAMPA","CRAB, BLUE (HARD)",197514,1140,0.32,64128
1988,"TAMPA","CRAB, BLUE (HARD)",227883,1617,0.38,85564
1989,"TAMPA","CRAB, BLUE (HARD)",182470,1141,0.42,76556
1990,"TAMPA","CRAB, BLUE (HARD)",278581,1746,0.52,143756
1991,"TAMPA","CRAB, BLUE (HARD)",168539,1446,0.46,78037
1992,"TAMPA","CRAB, BLUE (HARD)",300036,2416,0.49,146601
1993,"TAMPA","CRAB, BLUE (HARD)",463676,3167,0.62,285967
1994,"TAMPA","CRAB, BLUE (HARD)",351778,2386,0.71,249491
1995,"TAMPA","CRAB, BLUE (HARD)",610783,3305,0.82,498705
1996,"TAMPA","CRAB, BLUE (HARD)",1138425,5091,0.79,895314
1997,"TAMPA","CRAB, BLUE (HARD)",639505,4195,0.76,483905
1998,"TAMPA","CRAB, BLUE (HARD)",858511,4309,0.77,658407
1999,"TAMPA","CRAB, BLUE (HARD)",949524,4102,0.8,756701
2000,"TAMPA","CRAB, BLUE (HARD)",642546,3250,0.85,546683
2001,"TAMPA","CRAB, BLUE (HARD)",574811,3147,0.92,530110
2002,"TAMPA","CRAB, BLUE (HARD)",713642,3658,1.01,724074
2003,"TAMPA","CRAB, BLUE (HARD)",775522,3894,1.07,831600
2004,"TAMPA","CRAB, BLUE (HARD)",777646,3901,1.08,840134
2005,"TAMPA","CRAB, BLUE (HARD)",874781,4274,1.08,941818
2006,"TAMPA","CRAB, BLUE (HARD)",1521757,5496,0.95,1439878
2007,"TAMPA","CRAB, BLUE (HARD)",1094472,4373,1.03,1131097
2008,"TAMPA","CRAB, BLUE (HARD)",303734,2481,1.23,372488
2009,"TAMPA","CRAB, BLUE (HARD)",285037,2272,1.3,370955
2010,"TAMPA","CRAB, BLUE (HARD)",678370,4038,1.38,933157
2011,"TAMPA","CRAB, BLUE (HARD)",606610,4079,1.27,772543
2012,"TAMPA","CRAB, BLUE (HARD)",518757,3864,1.37,710898
2013,"TAMPA","CRAB, BLUE (HARD)",503943,3962,1.53,768875
2014,"TAMPA","CRAB, BLUE (HARD)",581061,3948,1.72,1000802
2015,"TAMPA","CRAB, BLUE (HARD)",358954,3003,1.63,585796
2016,"TAMPA","CRAB, BLUE (HARD)",489511,3591,1.75,855017
